lease_id,no_rent_change,rent_change_10,rent_change_20,lease_length_2,lease_length_3,lease_length_1,age_range_under_24,age_range_24_29,age_range_30_39,age_range_40_49,age_range_50_59,age_range_60,NoFinesViolations,PositiveSurvey,LatePayments,HOA_mandatory,Renewed
HPA0001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
HPA0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
HPA0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HPA0019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HPA0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HPA0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0030,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0031,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
HPA0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0037,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0040,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HPA0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
HPA0043,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HPA0044,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HPA0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0047,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HPA0048,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
HPA0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0054,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
HPA0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HPA0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0058,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HPA0061,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HPA0062,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
HPA0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HPA0064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HPA0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPA0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HPA0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
